batch_number,yaml_file,total_page_count,demo_page_count,trial_count,main_pair_count,same_pipe_reference_count,same_organ_anchor_count,demo_same_pipe_count,demo_same_organ_anchor_count,scored_pair_ids
0,marcussen_batch_00.yaml,17,0,17,15,1,1,0,0,1759;1760;1761;1765;1766;1767;1771;1772;1773;1777;1778;1779;1783;1784;1785;1762;0
1,marcussen_batch_01.yaml,71,2,69,65,2,2,1,1,1489;2218;2106;1953;502;295;1055;1605;2296;1225;1108;475;494;2040;880;1302;223;2287;2235;2139;2267;487;1280;1847;1269;705;1005;558;935;1936;852;1828;1556;230;774;206;394;2147;755;2451;2307;1230;362;1873;49;1924;675;859;2401;2506;1128;1766;1075;1658;1292;2065;595;1547;402;79;555;1263;1157;1202;1390;1901;786;561;835
2,marcussen_batch_02.yaml,71,2,69,65,2,2,1,1,901;683;1471;762;984;2364;1765;635;1172;1244;63;946;128;939;2108;56;674;1902;1659;1035;994;1540;2352;1192;1127;2555;444;1726;187;884;1024;397;1249;562;1790;1018;1332;141;781;1452;1971;13;1854;1716;2244;173;1116;335;1059;2096;1502;1512;834;2403;350;237;625;1271;2054;752;97;1311;929;1159;1200;965;1665;812;2849
3,marcussen_batch_03.yaml,71,2,69,65,2,2,1,1,581;1194;1986;1870;2046;694;2059;1270;574;324;2288;711;1890;2340;482;81;1470;1807;1722;1498;1462;1977;2187;1573;968;1017;1899;1165;642;1609;673;1431;145;1208;385;1835;172;513;1189;1599;904;1;463;1522;2675;873;1349;1399;1068;313;159;2157;955;1683;1149;1376;92;1252;104;1592;1511;849;303;96;2564;764;2020;1156;998
4,marcussen_batch_04.yaml,71,2,69,65,2,2,1,1,364;1651;895;2112;1748;552;1412;356;732;1398;604;1439;1737;425;2264;2134;1809;1675;1779;181;164;1910;1242;1671;1453;135;416;2548;62;2257;2215;2237;2744;205;1328;2377;1840;23;1574;1079;1537;1733;2175;2282;1612;1543;969;445;2304;2169;1346;1987;2010;546;2158;1624;1253;957;467;1118;2270;1586;1580;612;2207;1929;86;1772;454
5,marcussen_batch_05.yaml,70,2,68,64,2,2,1,1,2450;2239;1568;1014;2392;235;962;989;1331;1562;794;1469;1374;1065;661;746;853;2328;823;997;1409;2144;2258;1694;312;1056;2041;1361;2766;1978;734;289;863;605;1519;505;1461;1705;2064;1243;395;1813;696;2008;1420;116;1720;286;16;305;2249;543;383;701;622;466;1279;44;1262;1732;2159;1702;839;2098;1670;271;1036;2277
6,marcussen_batch_06.yaml,70,2,68,64,2,2,1,1,2047;2000;1232;1378;1789;1359;1636;1968;2091;2371;1930;493;1015;188;417;123;1117;1226;1004;763;1482;363;2238;1639;21;682;504;376;443;1983;1193;1909;1879;808;1555;693;806;2;1552;1778;1283;1859;2081;1754;1313;163;157;2128;2647;1942;1146;1087;986;91;1653;776;1761;2494;484;1922;199;347;1049;1298;1321;306;323;1039
7,marcussen_batch_07.yaml,71,2,69,65,2,2,1,1,864;55;1500;322;1069;2205;706;2088;1250;259;2052;342;1645;1236;2276;692;80;854;1433;958;1336;387;2226;355;828;180;753;792;1479;2199;111;515;1459;1134;944;960;2791;1490;667;623;563;1931;11;1534;1289;636;412;39;1603;1371;522;33;671;1411;1385;910;805;1350;2166;1300;2136;423;1747;2681;978;45;2358;841;2268
8,marcussen_batch_08.yaml,71,2,69,65,2,2,1,1,1728;816;1841;1633;247;967;905;241;1392;1183;742;38;403;325;2313;351;2035;196;1171;25;357;1962;117;1413;594;95;1681;1428;1084;153;2530;528;2370;1921;938;564;712;332;367;1864;85;1949;1345;840;1943;2343;892;2234;1904;601;1520;1451;2114;2639;534;413;1370;2071;1575;2019;2254;1513;375;2119;2394;1443;659;292;1057
9,marcussen_batch_09.yaml,70,2,68,64,2,2,1,1,1693;1721;67;810;1038;110;353;1096;634;1410;1992;2393;344;1333;771;512;2248;996;681;217;1621;765;406;24;457;721;713;2185;1139;2124;1735;129;2214;540;2072;814;1323;872;1047;1207;791;1373;253;1125;1147;377;1214;1448;2490;2808;1893;801;1460;1880;923;483;1356;930;1808;2079;1188;1089;937;492;190;1009;1488;434
10,marcussen_batch_10.yaml,70,2,68,64,2,2,1,1,979;1330;1342;1472;1107;2404;1008;1753;2066;2080;1494;1491;1581;653;1449;1912;2028;811;208;226;1178;2334;1894;879;1124;2346;898;666;2847;582;1027;736;916;255;1699;2224;2145;302;2500;61;405;1261;1803;2154;1095;869;714;911;633;603;2126;432;1308;2209;1499;1384;686;725;12;2386;1689;297;1548;452;754;2275;1708;260
11,marcussen_batch_11.yaml,71,2,69,65,2,2,1,1,1587;966;2022;1478;1098;1771;1076;647;934;2454;2194;1591;248;1979;366;616;516;1715;1563;2732;1777;807;1676;1501;3;327;1312;32;1176;1201;2030;414;474;1220;1903;1815;393;1400;2179;1473;1883;1911;170;2402;2246;1597;1998;654;2077;354;1421;1965;795;813;2385;1736;2208;2125;296;1303;684;2184;453;1166;784;1641;1492;1989;57
12,marcussen_batch_12.yaml,71,2,69,65,2,2,1,1,1796;1191;249;2053;242;2225;1518;373;2188;596;1463;386;773;1403;723;802;948;2452;827;2382;122;2090;200;1037;75;1074;1301;995;1318;134;2149;2566;345;464;1773;1126;283;293;917;936;1109;1630;1646;756;1468;304;365;2289;615;2127;1441;1429;1293;924;2174;1206;437;60;704;2245;139;2400;426;1557;1377;273;1801;1248;1948
13,marcussen_batch_13.yaml,70,2,68,64,2,2,1,1,1144;68;703;455;2474;956;531;1273;333;1423;496;2021;1387;1802;99;842;1546;73;1618;1852;2204;2376;2196;2168;1450;1362;1007;93;1114;1569;2322;1029;346;2186;1224;51;1034;1846;1663;1858;15;349;352;2384;165;1016;861;2229;1480;485;2011;2100;1503;2391;2297;1604;374;1044;2177;1078;2310;882;2078;2118;1825;2456;2217;2266
14,marcussen_batch_14.yaml,71,2,69,65,2,2,1,1,152;2148;796;2137;1085;1329;1884;1593;1137;1440;2228;961;1567;1299;695;1251;473;191;1682;987;2018;26;741;1155;2355;2796;1357;1402;2331;486;2283;1913;1923;724;547;2361;592;2101;626;87;2087;1727;1196;1288;1375;1734;2107;632;655;1258;2325;2319;2156;906;1386;733;576;2684;672;133;503;424;1652;127;179;977;665;1739;2206
15,marcussen_batch_15.yaml,70,2,68,64,2,2,1,1,1695;2099;1819;2048;1585;1531;1184;761;2349;1006;1363;2640;881;2337;1657;585;436;427;2689;1664;2023;1935;1647;1791;593;2042;745;782;1797;928;954;1783;348;209;1419;115;1238;14;43;446;1528;2259;2197;462;1920;922;236;715;918;571;1955;2120;726;850;1058;1432;1138;315;1213;735;1064;889;804;1391;472;2138;1115;392
16,marcussen_batch_16.yaml,71,2,69,65,2,2,1,1,1438;2013;1495;384;809;1993;507;2578;1219;265;614;1322;317;949;985;442;883;1048;815;2367;1268;1310;2167;294;575;2189;1028;1259;1158;2712;602;22;1136;1523;999;1097;1900;477;1999;2219;109;2086;1974;1738;4;37;243;1105;959;31;396;422;220;1959;1422;1086;2198;326;1947;2247;1145;514;495;2372;1358;1640;1388;722;456
17,marcussen_batch_17.yaml,71,2,69,65,2,2,1,1,207;775;2769;862;404;1561;1190;1026;169;316;2301;1549;525;1418;2785;1129;2260;1882;2165;2076;1914;2070;1319;947;1867;1088;2060;851;1099;1401;2383;372;1231;631;624;1510;506;566;1853;69;1627;988;98;2216;476;783;465;963;1045;1615;1170;1291;447;1795;1687;2146;874;976;2003;649;1759;146;1836;1343;548;822;912;334;1860
18,marcussen_batch_18.yaml,70,2,68,64,2,2,1,1,2029;685;2271;147;1309;1598;1508;1954;1848;1994;702;785;803;641;189;2715;1937;1282;1669;1481;1335;1889;833;583;1876;1984;105;572;870;1919;2316;267;2265;1744;517;2129;1344;94;1104;1195;2176;5;2058;1579;433;829;1218;182;171;1177;1290;1067;1272;58;197;1019;1212;272;1677;2590;497;975;945;1430;1711;860;1119;2195
19,marcussen_batch_19.yaml,70,2,68,64,2,2,1,1,1714;2269;59;1834;151;716;2426;1046;382;621;1364;1521;1785;611;691;591;648;793;261;1881;1892;277;1509;74;1442;231;2236;214;537;2263;821;565;1941;1760;254;1985;1347;2034;140;1148;435;676;2001;1135;584;1260;1094;974;1497;2630;343;280;2113;2281;743;1182;266;1278;6;2012;1389;1025;843;336;1054;2378;2155;1740
