batch_number,yaml_file,page_kind,page_index,page_name,store_results,page_id,pair_id,pair_role
0,marcussen_batch_00.yaml,trial,1,Trial 001,True,1759,1759,cross_organ_main
0,marcussen_batch_00.yaml,trial,2,Trial 002,True,1760,1760,cross_organ_main
0,marcussen_batch_00.yaml,trial,3,Trial 003,True,1761,1761,cross_organ_main
0,marcussen_batch_00.yaml,trial,4,Trial 004,True,1765,1765,cross_organ_main
0,marcussen_batch_00.yaml,trial,5,Trial 005,True,1766,1766,cross_organ_main
0,marcussen_batch_00.yaml,trial,6,Trial 006,True,1767,1767,cross_organ_main
0,marcussen_batch_00.yaml,trial,7,Trial 007,True,1771,1771,cross_organ_main
0,marcussen_batch_00.yaml,trial,8,Trial 008,True,1772,1772,cross_organ_main
0,marcussen_batch_00.yaml,trial,9,Trial 009,True,1773,1773,cross_organ_main
0,marcussen_batch_00.yaml,trial,10,Trial 010,True,1777,1777,cross_organ_main
0,marcussen_batch_00.yaml,trial,11,Trial 011,True,1778,1778,cross_organ_main
0,marcussen_batch_00.yaml,trial,12,Trial 012,True,1779,1779,cross_organ_main
0,marcussen_batch_00.yaml,trial,13,Trial 013,True,1783,1783,cross_organ_main
0,marcussen_batch_00.yaml,trial,14,Trial 014,True,1784,1784,cross_organ_main
0,marcussen_batch_00.yaml,trial,15,Trial 015,True,1785,1785,cross_organ_main
0,marcussen_batch_00.yaml,trial,16,Trial 016,True,1762,1762,same_pipe_reference
0,marcussen_batch_00.yaml,trial,17,Trial 017,True,anchor_001,0,same_organ_anchor
1,marcussen_batch_01.yaml,example,1,Example 001,False,example_001_pair_1666,1666,same_pipe_reference
1,marcussen_batch_01.yaml,example,2,Example 002,False,example_002_pair_2540,2540,same_organ_anchor
1,marcussen_batch_01.yaml,trial,1,Trial 001,True,1489,1489,cross_organ_main
1,marcussen_batch_01.yaml,trial,2,Trial 002,True,2218,2218,cross_organ_main
1,marcussen_batch_01.yaml,trial,3,Trial 003,True,2106,2106,cross_organ_main
1,marcussen_batch_01.yaml,trial,4,Trial 004,True,1953,1953,cross_organ_main
1,marcussen_batch_01.yaml,trial,5,Trial 005,True,502,502,cross_organ_main
1,marcussen_batch_01.yaml,trial,6,Trial 006,True,295,295,cross_organ_main
1,marcussen_batch_01.yaml,trial,7,Trial 007,True,1055,1055,cross_organ_main
1,marcussen_batch_01.yaml,trial,8,Trial 008,True,1605,1605,cross_organ_main
